,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,top_labels,mid_labels,bot_labels
331,1.0078,0.301,1.42,0.319,0,0.0,0.0,-0.003,0.0131,0.008,-0.1845,313,2,0.1022,313,215.0,1.294,0.0784,1.42,1.1486,0.2714,2,1.2115,-0.0023,0.0028,0.0075,-0.0199,2,0.0112,1.0422,0.0573,1.146,0.949,0,0.0,-0.0016,0.0009,0.0012,-0.004,0,0.0,0.6872,0.2766,0.949,0.319,5,0.5504,-0.0052,0.0223,0.008,-0.1845,1,0.1845,1,1,2
332,1.1054,0.1802,1.48,0.876,1,1.192,114.0,-0.0016,0.0019,0.009,-0.0085,333,1,0.009,333,333.0,1.3265,0.0883,1.48,1.192,0.288,2,1.32,-0.0023,0.002,0.004,-0.0085,0,0.0,1.0726,0.0583,1.195,0.978,0,0.0,-0.0018,0.0013,0.0005,-0.007,1,0.0,0.9172,0.0283,0.976,0.876,2,0.887,-0.0007,0.0018,0.009,-0.005,1,0.009,1,1,2
333,1.1617,0.192,1.539,0.894,1,0.894,346.0,-0.0015,0.0038,0.047,-0.0085,352,1,0.047,352,352.0,1.3964,0.0931,1.539,1.238,0.301,0,0.0,-0.0025,0.0015,0.002,-0.0085,0,0.0,1.128,0.0616,1.237,1.033,3,1.0623,-0.0017,0.0015,0.004,-0.005,0,0.0,0.9608,0.0388,1.03,0.894,3,0.918,-0.0002,0.006,0.047,-0.007,1,0.047,1,1,1
334,1.1914,0.2047,1.628,0.909,0,0.0,0.0,-0.002,0.0018,0.0055,-0.013,8,0,0.0,0,0.0,1.441,0.1002,1.628,1.283,0.345,0,0.0,-0.0029,0.0018,0.0005,-0.013,0,0.0,1.1567,0.0638,1.281,1.056,0,0.0,-0.0019,0.0015,0.0025,-0.0065,1,0.0025,0.9764,0.043,1.056,0.909,3,0.9293,-0.0012,0.0018,0.0055,-0.0125,0,0.0,1,1,1
335,1.2157,0.2121,1.701,0.914,0,0.0,0.0,-0.0022,0.0017,0.0035,-0.011,15,0,0.0,0,0.0,1.4728,0.1042,1.701,1.311,0.39,0,0.0,-0.0033,0.002,0.0005,-0.011,1,0.007,1.1826,0.0677,1.304,1.074,0,0.0,-0.002,0.0009,0.001,-0.005,0,0.0,0.9917,0.0458,1.071,0.914,2,0.941,-0.0013,0.0013,0.0035,-0.0075,0,0.0,1,1,1
336,1.2675,0.2426,1.777,0.931,0,0.0,0.0,-0.0024,0.0018,0.005,-0.009,27,0,0.0,0,0.0,1.5616,0.1212,1.777,1.362,0.415,0,0.0,-0.0035,0.0017,0.005,-0.009,0,0.0,1.2292,0.0761,1.361,1.106,0,0.0,-0.0021,0.0017,0.0045,-0.0065,0,0.0,1.0117,0.0525,1.103,0.931,1,1.052,-0.0014,0.0012,0.001,-0.005,0,0.0,1,1,1
337,1.2881,0.255,1.794,0.929,0,0.0,0.0,-0.0024,0.0021,0.004,-0.01,16,3,0.0067,106,67.6667,1.5974,0.1264,1.794,1.402,0.392,3,1.6667,-0.0032,0.0028,0.004,-0.01,7,0.0055,1.2475,0.0791,1.392,1.124,0,0.0,-0.0023,0.0014,0.001,-0.0075,1,0.001,1.0193,0.0573,1.123,0.929,1,1.084,-0.0016,0.0013,0.0025,-0.006,0,0.0,1,1,1
338,1.3013,0.263,1.838,0.955,0,0.0,0.0,-0.0025,0.0016,0.001,-0.015,0,0,0.0,0,0.0,1.6217,0.1268,1.838,1.421,0.417,0,0.0,-0.0036,0.0016,-0.001,-0.015,0,0.0,1.2581,0.0838,1.418,1.125,0,0.0,-0.0025,0.001,0.0,-0.0045,0,0.0,1.0242,0.0559,1.124,0.955,0,0.0,-0.0014,0.0011,0.001,-0.004,0,0.0,1,1,1
339,1.3075,0.2256,1.788,1.092,0,0.0,0.0,-0.0019,0.0018,0.001,-0.007,43,0,0.0,0,0.0,1.5899,0.1243,1.788,1.398,0.39,0,0.0,-0.0033,0.0015,0.0,-0.007,0,0.0,1.24,0.0817,1.396,1.108,0,0.0,-0.0024,0.0012,0.001,-0.006,0,0.0,1.0926,0.0023,1.106,1.092,0,0.0,-0.0001,0.0005,0.0,-0.0025,0,0.0,1,1,1
340,1.269,0.2338,1.747,1.006,0,0.0,0.0,-0.0021,0.0024,0.003,-0.0154,273,5,0.0063,273,123.2,1.5551,0.1178,1.747,1.363,0.384,0,0.0,-0.0032,0.0027,0.003,-0.011,3,0.0037,1.2272,0.0758,1.362,1.104,0,0.0,-0.0022,0.0017,0.0015,-0.009,3,0.0057,1.0245,0.031,1.103,1.006,0,0.0,-0.0008,0.002,0.0,-0.0154,1,0.0154,1,1,1
341,1.2388,0.2258,1.65,0.916,0,0.0,0.0,-0.002,0.0023,0.003,-0.0285,308,1,0.0285,308,308.0,1.5087,0.0953,1.65,1.35,0.3,1,1.644,-0.0025,0.0014,0.0015,-0.0075,0,0.0,1.2156,0.0728,1.349,1.1,0,0.0,-0.0021,0.0009,0.0,-0.005,0,0.0,0.9922,0.0664,1.099,0.916,1,1.039,-0.0015,0.0035,0.003,-0.0285,1,0.0285,1,1,1
342,1.2432,0.2189,1.638,0.901,0,0.0,0.0,-0.002,0.0015,0.0025,-0.0092,327,0,0.0,0,0.0,1.5066,0.0906,1.638,1.337,0.301,0,0.0,-0.0025,0.0015,0.0025,-0.007,1,0.001,1.2177,0.0693,1.335,1.107,0,0.0,-0.0019,0.0012,0.0005,-0.007,0,0.0,1.0054,0.0648,1.106,0.901,0,0.0,-0.0017,0.0017,0.002,-0.0092,0,0.0,1,1,1
343,1.2742,0.2084,1.68,0.966,0,0.0,0.0,-0.002,0.0015,0.005,-0.0085,100,1,0.0,192,192.0,1.5281,0.0836,1.68,1.366,0.314,2,1.5795,-0.0026,0.0018,0.005,-0.0085,0,0.0,1.2464,0.066,1.362,1.135,0,0.0,-0.0019,0.0013,0.001,-0.005,1,0.0,1.0482,0.0517,1.137,0.966,2,1.046,-0.0014,0.0012,0.0015,-0.0045,0,0.0,1,1,1
344,1.3005,0.2093,1.679,0.99,1,1.049,311.0,-0.0019,0.0015,0.0035,-0.006,248,0,0.0,0,0.0,1.5552,0.0844,1.679,1.411,0.268,2,1.6755,-0.0022,0.0015,0.0035,-0.0055,0,0.0,1.2729,0.0683,1.408,1.16,0,0.0,-0.0021,0.001,0.0005,-0.0045,0,0.0,1.0735,0.0492,1.159,0.99,5,1.0878,-0.0014,0.0017,0.002,-0.006,0,0.0,1,1,1
