,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,labels
124,2.0105,0.8028,3.842,1.145,1,3.793,4.0,-0.0073,0.0079,0.027,-0.043,20,9,0.0218,92,49.8889,2.9957,0.5442,3.842,2.188,1.654,3,3.8233,-0.0137,0.0106,0.027,-0.043,18,0.0193,1.772,0.2099,2.179,1.451,0,0.0,-0.0061,0.0021,-0.002,-0.0115,1,0.003,1.2638,0.0907,1.446,1.145,1,1.145,-0.0022,0.0021,0.0035,-0.005,0,0.0,1
125,2.0397,0.8209,3.844,1.109,0,0.0,0.0,-0.0072,0.008,0.0375,-0.038,25,12,0.0198,69,35.75,3.0502,0.5409,3.844,2.233,1.611,2,3.8265,-0.0122,0.0121,0.0375,-0.038,16,0.0179,1.8004,0.2137,2.213,1.474,0,0.0,-0.0063,0.0021,-0.002,-0.013,0,0.0,1.2686,0.1025,1.469,1.109,0,0.0,-0.003,0.0011,-0.001,-0.006,0,0.0,1
126,2.0289,0.8122,3.765,1.103,0,0.0,0.0,-0.0074,0.0067,0.0095,-0.033,0,9,0.0174,66,48.2222,3.0316,0.5235,3.765,2.218,1.547,2,3.7275,-0.0131,0.0086,0.0095,-0.033,13,0.0169,1.7923,0.2137,2.211,1.481,0,0.0,-0.0061,0.0028,0.0025,-0.018,2,0.0072,1.2628,0.1042,1.476,1.103,0,0.0,-0.0031,0.0012,-0.001,-0.0085,0,0.0,1
127,1.9643,0.7601,3.65,1.095,1,3.65,13.0,-0.007,0.0064,0.0145,-0.034,33,8,0.0137,86,53.625,2.8966,0.5011,3.65,2.145,1.505,2,3.6335,-0.0123,0.0083,0.0145,-0.034,12,0.0137,1.75,0.204,2.144,1.447,0,0.0,-0.0058,0.0026,-0.001,-0.0175,3,0.0077,1.2465,0.1015,1.444,1.095,0,0.0,-0.0029,0.0012,-0.0005,-0.008,0,0.0,1
128,1.9246,0.7374,3.664,1.083,1,3.664,8.0,-0.0071,0.0061,0.011,-0.03,19,8,0.0101,25,59.625,2.8236,0.5048,3.664,2.106,1.558,1,3.664,-0.0128,0.0073,0.011,-0.03,14,0.0144,1.7169,0.1941,2.099,1.425,0,0.0,-0.0057,0.0023,0.0005,-0.0135,2,0.003,1.2335,0.099,1.422,1.083,0,0.0,-0.0029,0.001,-0.001,-0.006,0,0.0,1
129,1.8634,0.6797,3.544,1.085,0,0.0,0.0,-0.0069,0.0064,0.0045,-0.0375,43,16,0.0161,204,65.9375,2.6931,0.4522,3.544,2.044,1.5,0,0.0,-0.0126,0.0077,0.0045,-0.0375,17,0.0148,1.6783,0.1837,2.039,1.403,0,0.0,-0.0053,0.003,0.002,-0.014,5,0.007,1.2187,0.0971,1.402,1.085,0,0.0,-0.0026,0.0014,0.002,-0.0065,1,0.002,1
130,1.8138,0.6367,3.432,1.06,0,0.0,0.0,-0.0066,0.0052,0.0005,-0.03,7,7,0.0147,109,42.4286,2.5888,0.4233,3.432,1.981,1.451,0,0.0,-0.0122,0.0052,0.0,-0.03,8,0.0135,1.6472,0.1727,1.973,1.389,0,0.0,-0.0049,0.0019,0.0005,-0.0095,2,0.0085,1.2056,0.0951,1.386,1.06,0,0.0,-0.0027,0.0009,-0.001,-0.0055,0,0.0,1
131,1.8395,0.6343,3.377,1.083,0,0.0,0.0,-0.0064,0.0058,0.017,-0.034,0,10,0.0107,67,69.2,2.6142,0.414,3.377,2.014,1.363,1,3.329,-0.0116,0.0073,0.017,-0.034,15,0.0112,1.6721,0.172,2.002,1.407,0,0.0,-0.005,0.002,0.0005,-0.0115,1,0.0005,1.2321,0.0942,1.403,1.083,0,0.0,-0.0027,0.0007,-0.0005,-0.005,0,0.0,1
132,1.8882,0.6497,3.477,1.113,0,0.0,0.0,-0.0066,0.0064,0.0135,-0.059,7,9,0.0206,21,26.8889,2.6846,0.4134,3.477,2.061,1.416,1,3.272,-0.0118,0.0086,0.0135,-0.059,12,0.0194,1.7177,0.1772,2.052,1.443,0,0.0,-0.0051,0.0019,0.0005,-0.0115,0,0.0,1.2623,0.0948,1.438,1.113,0,0.0,-0.0027,0.0014,0.0005,-0.008,0,0.0,1
133,1.9042,0.6388,3.262,1.125,1,3.262,21.0,-0.0054,0.0069,0.03,-0.031,27,8,0.0134,22,55.75,2.6935,0.3743,3.262,2.095,1.167,3,3.2367,-0.0082,0.0111,0.03,-0.031,10,0.0154,1.742,0.1794,2.09,1.459,0,0.0,-0.0053,0.0021,0.0,-0.0125,2,0.0022,1.277,0.0951,1.454,1.125,0,0.0,-0.0028,0.0012,0.0005,-0.007,0,0.0,1
