,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,labels
12,2.553,1.2766,6.487,1.25,0,0.0,0.0,-0.0146,0.0184,0.0,-0.1115,3,25,0.0408,201,59.96,4.1146,0.9705,6.487,2.649,3.838,0,0.0,-0.0322,0.0227,-0.006,-0.1115,27,0.0422,2.0909,0.2618,2.639,1.707,0,0.0,-0.0078,0.0043,0.0,-0.0245,4,0.0161,1.4535,0.132,1.701,1.25,0,0.0,-0.0038,0.0017,-0.0005,-0.009,0,0.0,3
13,2.5448,1.2725,6.413,1.251,0,0.0,0.0,-0.0144,0.0178,0.0065,-0.113,109,25,0.0371,169,66.12,4.0988,0.9746,6.413,2.629,3.784,0,0.0,-0.0317,0.0218,0.0065,-0.113,23,0.042,2.0855,0.2587,2.619,1.699,0,0.0,-0.0077,0.0041,0.0015,-0.026,6,0.008,1.45,0.1303,1.693,1.251,0,0.0,-0.0037,0.0015,0.0015,-0.008,2,0.004,3
14,2.5363,1.2578,6.027,1.252,1,6.027,2.0,-0.0127,0.0172,0.113,-0.1125,0,23,0.0331,168,68.6522,4.0818,0.938,6.027,2.628,3.399,1,6.027,-0.0266,0.0238,0.113,-0.1125,17,0.0407,2.0796,0.2578,2.626,1.694,0,0.0,-0.0078,0.0046,-0.0005,-0.031,8,0.0136,1.4474,0.1304,1.687,1.252,0,0.0,-0.0037,0.0016,0.0,-0.0085,0,0.0,3
15,2.4835,1.1972,5.726,1.241,0,0.0,0.0,-0.0125,0.0132,0.0,-0.1075,106,22,0.0331,187,52.9091,3.962,0.8673,5.726,2.593,3.133,0,0.0,-0.0263,0.0146,-0.0035,-0.1075,24,0.0324,2.0536,0.2475,2.569,1.682,0,0.0,-0.0075,0.0036,0.0,-0.0215,2,0.0115,1.4351,0.1286,1.677,1.241,0,0.0,-0.0037,0.0018,0.0,-0.0105,0,0.0,3
16,2.4274,1.1377,5.385,1.227,0,0.0,0.0,-0.0115,0.0112,0.006,-0.0715,103,13,0.0276,127,77.9231,3.8351,0.8109,5.385,2.519,2.866,0,0.0,-0.0239,0.0111,0.003,-0.0715,14,0.0267,2.0249,0.2363,2.505,1.664,0,0.0,-0.0071,0.0037,0.003,-0.0255,3,0.0132,1.4223,0.1264,1.659,1.227,0,0.0,-0.0035,0.0019,0.006,-0.0105,0,0.0,3
17,2.3002,1.013,4.792,1.224,0,0.0,0.0,-0.01,0.0101,0.0025,-0.096,94,10,0.0264,188,95.1,3.5488,0.7189,4.792,2.392,2.4,0,0.0,-0.0202,0.0115,-0.002,-0.096,14,0.0255,1.9579,0.2237,2.381,1.627,0,0.0,-0.0063,0.0027,0.0025,-0.017,1,0.017,1.394,0.1185,1.623,1.224,1,1.231,-0.0034,0.0017,0.0025,-0.009,1,0.0,3
18,2.2515,0.9566,4.415,1.198,0,0.0,0.0,-0.0088,0.0095,0.041,-0.086,91,15,0.0194,187,67.2,3.4341,0.6571,4.415,2.379,2.036,2,4.404,-0.0165,0.013,0.041,-0.086,19,0.0192,1.9371,0.22,2.375,1.612,0,0.0,-0.0064,0.0029,0.001,-0.016,2,0.0133,1.3832,0.1163,1.61,1.198,0,0.0,-0.0035,0.0017,0.0015,-0.009,0,0.0,3
19,2.1851,0.903,4.456,1.19,0,0.0,0.0,-0.0091,0.0089,0.0025,-0.0695,87,8,0.0246,119,74.25,3.2956,0.635,4.456,2.31,2.146,0,0.0,-0.018,0.0103,0.0025,-0.0695,13,0.022,1.8932,0.2052,2.286,1.586,0,0.0,-0.0059,0.003,0.0025,-0.0155,3,0.0078,1.3665,0.1123,1.583,1.19,0,0.0,-0.0033,0.0014,0.0005,-0.0085,0,0.0,3
20,2.1617,0.886,4.379,1.187,0,0.0,0.0,-0.0089,0.0084,0.001,-0.0665,86,13,0.0222,142,47.9231,3.2497,0.6256,4.379,2.285,2.094,0,0.0,-0.0176,0.0091,-0.003,-0.0665,17,0.0222,1.8772,0.2022,2.266,1.57,0,0.0,-0.0059,0.0025,-0.001,-0.0135,3,0.009,1.3582,0.1112,1.564,1.187,0,0.0,-0.0032,0.002,0.001,-0.01,2,0.0055,3
21,2.1152,0.8405,4.124,1.189,0,0.0,0.0,-0.0081,0.0081,0.008,-0.0775,86,7,0.0277,86,63.7143,3.1503,0.5809,4.124,2.241,1.883,0,0.0,-0.0156,0.0102,0.008,-0.0775,7,0.0283,1.849,0.1932,2.229,1.547,0,0.0,-0.0058,0.0024,-0.0005,-0.013,1,0.0105,1.3463,0.105,1.542,1.189,0,0.0,-0.003,0.001,-0.001,-0.006,0,0.0,3
